"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",112,0,0,0,0,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"Intel(R) Xeon(R) Platinum 8480+","CPU","Intel(R) Xeon(R) Platinum 8480+",""
1,1,"CPU",112,0,128,0,0,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"Intel(R) Xeon(R) Platinum 8480+","CPU","Intel(R) Xeon(R) Platinum 8480+",""
2,2,"GPU",0,1216,0,2147487744,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,4352,0,128,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,47056,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
3,3,"GPU",0,1216,0,2147487784,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,12032,0,136,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,14928,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
4,4,"GPU",0,1216,0,2147487824,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,17920,0,144,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,30036,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
5,5,"GPU",0,1216,0,2147487864,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,23808,0,152,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,19544,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
6,6,"GPU",0,1216,0,2147487904,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,35584,0,160,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,56928,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
7,7,"GPU",0,1216,0,2147487944,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,43520,0,168,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,9897,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
8,8,"GPU",0,1216,0,2147487984,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,49664,0,176,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,53365,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
9,9,"GPU",0,1216,0,2147488024,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29857,55808,0,184,2,14,8,24,3800,2100,19,138,746037888,9,32,141,1024,4294967295,0,11786967012253712646,36162,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI300X","ip discovery"
